순대,떡볶이,어묵,튀김,커피,차차,과일,아이스,빠앙,쿠키,샌드위치,마카롱
The Sundae was well seasoned.,I like Tteokbokki both made of rice and made of wheat.,I like the Eomuk soup because it's warm.,I think it tastes better to dip it in soy sauce.,The smell of coffee is stronger in the warm Americano.,I think the green tea was brewed heavily.,I can feel the sweet and refreshing taste of strawberries.,"The yogurt tastes sweet, but it tastes sour.",I like sweet red bean paste because it's sweet.,I like it because there are many chocolate chips in it.,I think the chicken breast sandwiches are good for satiety.,It is crispy outside and moist inside.
The Sundae's lungs and liver are delicious too.,"I think it's moderately spicy, so it's delicious.",I think it tastes better to dip the Eomuk in soy sauce.,It's good to dip it in Tteokbokki sauce.,I like it because it's sweet to drink coffee with vanilla syrup.,It's good because I drank warm the black tea.,I like it because it's cool. I feel like I'm getting healthier.,I can feel the sweetness of chocolate. It's really delicious.,I can feel the flavor of fresh strawberry cream.,There're white chocolate chips in it.,I can feel the saltiness of the bacon.,It's delicious but it's too sweet.
It's also good to dip it in salt and in Tteokbokki sauce.,(They are eating deliciously.),There are many shapes of Eomuks.,I think it's delicious just to eat it.,The delicate smell of hazelnut feels subtle.,I feel comfortable when I drink the tea.,I think the orange juice is too sour. I'm drooling.,I think the strawberry and chocolate go really well together.,It has soft custard cream in it. It's so soft.,I think the chewing taste of raisins is good.,The slide cheese is salty and savory.,I think it's more sweet because it tastes like chocolate.
Last time I accidentally dropped the Sundae. So it was covered with salt ..It was really salty.,"Tteokbokki sauce is more spicy than I thought, but it is delicious.",(They eat so fast that they seem to have burned their tongue. They are pretending nothing happened.),It's crispy taste is alive.,I think the coffee is softer because I added milk.,I can feel the savory taste of adlay tea.,I think I feel more full when I drink it with the banana juice.,"When I think about the snacks of summer, of course I think it is ice cream.","It has sweet chocolate cream in it. As expected, sweet flavor is delicious.",I can feel the taste of the savory oatmeal.,I think it's more delicious because it's with the ham and cheese.,"I thought it would be fresh because it's strawberries, but no."
I think it feels dry to keep eating the Sundae's liver.,*Chewing*,Oops it's hot ..I should eat carefully.,(There is a crunchy sound in their mouth.),"If you drink a lot, you can't sleep at night, so drink not too much.",The lemon tea is said to be good for colds.,A kiwi juice has both sour and sweet flavors. This one has a strong sour flavor.,Your teeth might be sore so you might have a brain freeze.,I think the bread is more delicious because the peanut cream is savory.,The fresh cranberries taste good.,I think there are too many vegetables in it...,I can feel the sweet smell and flavor of vanilla.
It's better to eat the Sundae when it's warm.,I think it's spicier because it's hot..,It's good because I drank Eomuk soup on a rainy day.,"Deep fried sweet potatoes are also good, but shrimp is also delicious.","I was thirsty, but the coffee is cool, so I quenched my thirst.",I think I can feel the savory taste of buckwheat tea.,A kiwi juice has both sour and sweet flavors. This one has a strong sweet flavor.,I like the vanilla flavor because it's soft.,*Chewing*,I like it because there are many savory nuts in it.,*Chewing*,I feel like I'm drinking coffee because the macaron flavored the coffee's smell so strongly.
*Chewing* (They are chewing food in their mouth.),"When I was a child, I ate a cup of Tteokbokki in front of the school.",Eomuks have many shapes.,"When I eat deep a fried squid, only a squid comes out.",The whipped cream melted in the meantime.,I think the barley is well roasted. The barley tea smells good.,I ordered the tomato juice for my health. It's better than I thought.,There're fruits in ice cream.,It has fresh and sweet blueberry jam.,"The butter cookies are soft, so it's good to eat.",It's good to eat instead of breakfast.,The yellow of lemon looks good on macaron.
I think it's enough. I'll be full if I eat more..,"It's hotter than I thought, so I'll eat it carefully.",I should be careful not to drop it in soy sauce.,There are times when it's hard to chew because the surface of fried is sharp.,I think the smell of coffee is good at any time.,(They are drinking the tea after blow on it.),"A vegetable juice doesn't taste good, but it's good for your health.",I like it because it's cool and sweet.,There's white whipped cream in here. It's soft and delicious.,(There is a crunching cookie sound in their mouth.),I think the egg sandwich is easy to eat because the vegetables are chopped in it.,I can feel the sweet smell.
I think it's good because the Sundae's heart is chewy.,I should be careful not to let the sauce fall on my boots.,It's good to eat when it's chilly day.,"It's crispy, so it feels like I'm chewing on chips.","It was too bitter, so I put syrup in it. It seems much better.",I think a tea is good when it's warm.,"It's a mix of strawberries and bananas, so it tastes better.",It's good to eat coffee-flavored ice cream instead of coffee.,I like a soboru bread because it's crispy on the outside like snacks.,"Even if the cookie's hard, it's good to chew.",It's good to toast bread and eat it.,*Chewing*
It's better to eat the Sundae on rainy days.,Tteok is more delicious because it's chewy.,*Chewing*,Deep fried sweet potatoes are delicious without dipping them in soy sauce.,"If you add too much syrup, it becomes sweeter and you can't feel the taste of coffee.",..I burned my tongue while drinking the tea.,Mixing is good when you don't know what to drink. It's full of vitamins.,(Ice cream is melting.,The melon bread is moist inside and crispy outside.,"It's just baked, so it's moist inside.",I like it because it smells like butter on the bread.,"It's more expensive than I thought, but I think it's that good."
