index,park,city
1,"When I was child, I thought the playground was big... Since when it started seeming so small?",...too many people here
2,"I think it's good to drink fish soup in a paper cup, as it warms your hands and your body.","It was cloudy because it rained, but the air seems to have cleared up."
3,I think the wind is a little cold.,I think I can hear a little music from the cafe next door.
4,"I've heard a lot of thunders, but I think I've seen not many lightnings.",I smell something yummy in the wind.
5,(They see puddles of water forming around the boots on the floor),Power cords hang like a spider's web in the gray sky.
6,(An earthworm is crawling in the distance. They are staring at it for a long time),I'd say you get to see a lot of different people. I think the passerby over there is very busy.
7,Who owns this store? I wonder if the owner is really not here.,"Even in the crowd, I am alone. How many people in my life truly recognize me?"
8,It's been a while since I've heard a frog on a rainy day. Where are they hiding?,I think the snack shop smells yummy.
9,(I can hear the piano in the distance) There must be a piano academy nearby.,I think I smell savory bread somewhere.
10,I think the smell of rain is not that bad.,(They see trash rolling down the street)
11,"The umbrella is transparent, so I can see the raindrops well. I think that's why I can hear the sound of rain better.","Wherever we go, there is trash on the street. Garbage left unattended on the street makes the street dangerous and we call it the broken window theory."
12,"When one person starts throwing garbage on the street, there seems to be no end to it.",It's impossible to have no obstacles in life. So is it even worth it?
13,"I know that I should not do bad things but I unconsciously do it, so I feel bad.","One day I will travel to different places and meet people. As Korean proverb says, you can't be a frog in a well forever."
14,Seeing children playing happily makes me feel happy too.,I fell on the road while running when I was young. My knee really hurt.
15,I want to go see a show. I want to have fun once in a while.,(They are looking at the stagnant water under their feet)
16,"If you scream loudly in the rain, you'll be drowned out by the sound of rain.",(They are looking at the raindrops hanging from the end of the umbrella)
17,I like the way the dew rolls on the blade of grass when I tap it.,I hope to achieve what I want someday. So I have to try hard.
18,There is a lot of trash on the ground. There's no end to cleaning up.,"When everyone is looking at me, I wonder what I am doing wrong."
19,(They are looking at the sky. It is raining),"When lightning strikes when I'm outside, I'm more surprised than when I'm at home."
20,I feel like eating tteokbokki. It's better to eat it with kimbap.,I see people with different styles.
21,I don't know where curiosity comes from. I think no one knows for sure,There are too many electric wires above. It's different from seeing it at home.
22,"I don't know what the future holds for me, so I'm scared but I'm also looking forward to it.",The alleys are quiet but a little scary.
23,I like to have rain fall on my hand. And I bet snails would know what it means.,Many people are busy living their own lives with their own things..
