index,대화0,대화1,대화2,대화3,대화4,대화5
1,..Hi,Hi. You're here..,Oh you're here. Hi.,Welcome.,Welcome. I'm waiting for you.,Welcome. I'm waiting for you.
2,It's raining..,I'm just sitting on the floor.,I ate lunch at a convenience store last time and it was worth trying. But it was a bit expensive.,When will the rain stop?,What should we do?,What should we do?
3,..Do you have anything to say to me?,I have a cramp in my leg.,You know.. Just called.,It's a nice day to meditate. So do you want to join me?,"Sweets make me feel better, but they're not good for my teeth.","Sweets make me feel better, but they're not good for my teeth."
4,..Hmm,My back is itching but I can’t scratch it.,I don‘t think I would need the sunscreen that I recently got.,"I want to feel the breeze, not the cold wind.","Sometimes I want to eat late at night, but it's not good for my health.","Sometimes I want to eat late at night, but it's not good for my health."
5,What are you looking at?,"I wish I had a smartphone, too.",Sometimes a cat comes at the window and stares at me. I have nothing to give him.,"I want to write something, but I don't know what to write.",I went to the supermarket to buy ice cream. I bought a 2-dollar-cone and ate it right away. It was really good.,I went to the supermarket to buy ice cream. I bought a 2-dollar-cone and ate it right away. It was really good.
6,..Okay,"Sometimes, I'm not sure if I'm doing well.",Sometimes a sparrow rests at the window. It seems it is trying to stay out of the rain.,"I recently got a call from a friend. It was nice to talk to him on the phone after a long time, but I had nothing to say. So we just said hello to each other.",I go for a walk every morning. I feel like getting healthier.,I go for a walk every morning. I feel like getting healthier.
7,..Why?,I can't remember what I had been up to.,I'm gaining weight since I have been eating cup noodles often lately.,The reason why there are many bugs is that it's not a bad place to live here.,I used to get lazy so I didn't eat. But now I eat 3 meals a day.,I used to get lazy so I didn't eat. But now I eat 3 meals a day.
8,*Yawn*,Why are you making that face?,I haven't been to a Korean spa for a long time. But it's not that I don't wash up.,"I went into the store to buy clothes, but I couldn't buy it with the money I had. So I just went out to look. Someday I can wear fancy clothes, right?","I don't have money to buy books, but I can borrow them from the library.","I don't have money to buy books, but I can borrow them from the library."
9,I'm tired..,I'm afraid a bug will come out when I'm sleeping.,This place was drowned when rain poured a lot in the old days. We had hard times at that time.,"I have a TV, but I can't watch much because I have to save electricity.",I want to go on a picnic to see flowers.,I want to go on a picnic to see flowers.
10,I'm sleepy..,Mold and bugs...,"I picked up coins on the street, but I've never picked up bills.","I think it's really important to communicate with people, as I'm talking to you right now.",I feel refreshed after having a good sleep.,I feel refreshed after having a good sleep.
11,When are you going to go?,*Cough*,"When I was sick, I felt sad when no one was around me. I'm used to it now.",Today the rain stopped and I saw the sunshine. But it was just my dream..,The rain will stop someday.,Sometimes I want to drink juice rather than water because it tastes good.
12,..Do you have something to say?,The room is so humid that I feel unpleasant..,I will stay at home all day tomorrow.,"After reading the newspapers last time, I got curious about the world.","Even if I don't like vegetables, I have to eat them for my health.","There are many kinds of snacks, but I don't have enough money to buy them all. And it's not good for my health if I eat them all."
13,It's raining outside..,I want to eat something but even it is a hassle to eat.,I have a cramp in my leg.,The rain will stop someday.,Sometimes I want to drink juice rather than water because it tastes good.,I saw the sunshine through the clouds.
14,Umm....,Will the rainy season ever end? Someday...,It is always hard to get up in the morning.,Sometimes outside the window seems to be a different world from here.,"There are many kinds of snacks, but I don't have enough money to buy them all. And it's not good for my health if I eat them all.",Hmm... Shall I go buy some clothes?
15,I feel stuffy in my head..,..I do not want to move.,My back is itching but I can't scratch it.,Have you ever been to my bathroom? It's better not to take a look at it.,I saw the sunshine through the clouds.,"I'm tired of buying meal. Now, I want to make it by myself."
16,(They are not thinking anything.),I will go outside when it stops raining someday.,I wish I had a smartphone.,I think caramel popcorn is the best.,Hmm... Shall I go buy some clothes?,"Come to think of it, it's not always bad to keep raining."
17,What is that..?,Will it rain in the land of umbrellas?,I don't remember how bright the sun was.,"(When our eyes met, I saw a smile for a second.) ","I'm tired of buying meal. Now, I want to make it by myself.","To be honest, I felt much better after you came."
18,..The dust is there.,Well you know.. No nothing.,I don't remember what I did when the weather was clear.,"When I woke up, there was a spider web on my body... Did the spider pass by?","Come to think of it, it's not always bad to keep raining.","When the morning comes, the birds used to sing on the window."
19,*Cough*,I want to eat sushi but I will never be able to eat.,Where is the cloud moving to?,Always think twice before you speak.,"To be honest, I felt much better after you came.","I picked up 1 dollar on the street last time. There was a vending machine next to me, so I added a little bit more to buy a drink. It wasn't bad."
20,..Boring,How bright and warm the sun must have been? I can't remember..,Will the rainy season end someday?,"There's a hole in my sock, so I need to buy a new one.","When the morning comes, the birds used to sing on the window.",I'm going to clean up tomorrow.
21,I'm lazy.,I can't remember what I had been up to when it was a bright day.,I'm lazy to move.,"Well, it's a good day, although it's raining.. ","I picked up 1 dollar on the street last time. There was a vending machine next to me, so I added a little bit more to buy a drink. It wasn't bad.",There's a 24-hour laundry shop near here. So it's really comfortable to do it.
22,I'm bored.,Where will the clouds keep flowing away?,I hate to be clammy because it rains.,I want to eat a big cotton candy.,I'm going to clean up tomorrow.,I've been stretching at home these days. I feel refreshed after doing that.
23,Umm.. No nothing.,What time is it now?,"I'm going to go outside, one day...",I want to drink a refreshing cider.,There's a 24-hour laundry shop near here. So it's really comfortable to do it.,I've been working out lately. Just breathing.
24,It is damp..,What should I do? Hmm..,I'm afraid a bug will come out when I'm sleeping.,I want to travel somewhere.,I've been stretching at home these days. I feel refreshed after doing that.,The reason why there are many bugs is that it's not a bad place to live here.
25,....Smells like old things.,It's raining outside continuously...,Umm ..hmm.,My back is itching but I can't scratch it.,I've been working out lately. Just breathing.,Hmm.. hack...! My throat tickles.
26,I'm hungry..,I'm so.. bored..,(Cute laughs) ..I didn't laugh.,I hope there is a fine dining place in my town.,The reason why there are many bugs is that it's not a bad place to live here.,How are you doing these days? I believe you're doing well.
27,I'm thirsty..,It is chilly. Is there anything to cover me?,What is that..?,"I bought a doll before, but I threw it away because it was full of mold.",Hmm.. hack...! My throat tickles.,I'll travel somewhere someday.
28,It's cold..,..My throat is a little bit sore.,I want to eat hotcakes.,"I made a big decision to buy a macaron, but I forgot to eat them. So mold started to grow. Sadly I had to throw it away.",How are you doing these days? I believe you're doing well.,"After reading the newspapers last time, I got curious about the world."
29,(They are just lost in thought.),I will never be able to eat what I want.,I want to eat a big cotton candy.,"Have you ever seen a star in the sky? In fact, I can't even see the moon.",I'll travel somewhere someday.,Have you ever been to my bathroom? It's better not to take a look at it.
30,What time is it now?,The memories of my school days are not remembered. I don't think it's important.,I want to drink a refreshing cider.,I spilled instant noodle on the bed last night. I was really sad.,"After reading the newspapers last time, I got curious about the world.",Being healthy is really good.
31,..What should I do?,(They're looking out the window.),"My body was itchy, so I looked and there was a bug. Ew...",Whether I'm a fungus or a fungus is me.,Have you ever been to my bathroom? It's better not to take a look at it.,"I think it's really important to communicate with people, as I'm talking to you right now."
32,I want to lie down on the floor.,I want to eat fruits.,I think hats don't fit well on me.,I recently saw a butterfly. It was beautiful.,Being healthy is really good.,I want to hang out with you later.
