index,cat,trash
1,/I/'/v/e/ /t/o/u/c/h/e/d/ /a/ /c/a/t/'/s/ /f/e/e/t/./ /I/t/ /w/a/s/ /s/o/ /s/o/f/t/./,/S/o/m/e/t/i/m/e/s/ /p/e/o/p/l/e/ /t/h/r/o/w/ /a/w/a/y/ /w/h/a/t/ /t/h/e/y/ /n/e/e/d/./ /T/h/e/y/ /d/o/n/'/t/ /k/n/o/w/ /t/h/e/ /r/e/a/s/o/n/./
2,/T/h/i/s/ /c/a/t/ /l/o/o/k/s/ /s/o/ /r/e/l/a/x/e/d/./,"/I/f/ /s/o/m/e/o/n/e/ /f/i/g/u/r/e/s/ /o/u/t/ /s/o/m/e/d/a/y/ /t/h/a/t/ /s/o/m/e/t/h/i/n/g/ /u/s/e/l/e/s/s/ /c/a/n/ /b/e/ /u/s/e/d/,/ /t/h/e/y/ /w/i/l/l/ /r/e/g/r/e/t/ /t/h/r/o/w/i/n/g/ /i/t/ /a/w/a/y/./"
3,/I/ /h/a/v/e/n/'/t/ /s/e/e/n/ /t/h/i/s/ /c/a/t/ /o/p/e/n/ /i/t/s/ /e/y/e/s/./,/T/h/e/ /t/r/a/s/h/ /h/a/s/ /t/o/ /b/e/ /t/h/r/o/w/n/ /i/n/ /n/o/t/ /t/h/e/ /s/t/r/e/e/t/ /b/u/t/ /t/h/e/ /t/r/a/s/h/ /c/a/n/./
4,/T/h/i/s/ /c/a/t/'/s/ /f/u/r/ /l/o/o/k/s/ /s/o/ /c/l/e/a/n/./ /I/ /t/h/i/n/k/ /t/h/e/y/ /w/a/s/ /h/a/r/d/ /a/t/ /c/l/e/a/n/i/n/g/ /t/h/e/m/s/e/l/f/./,/T/h/e/ /r/e/c/y/c/l/a/b/l/e/ /w/a/s/t/e/ /c/a/n/ /b/e/ /r/e/f/o/r/m/ /a/n/d/ /u/s/e/d/./
5,/T/h/i/s/ /c/a/t/ /l/o/o/k/s/ /d/o/z/i/n/g/./,/T/h/e/ /t/r/a/s/h/ /c/a/n/ /d/o/e/s/n/'/t/ /l/o/o/k/ /s/t/r/o/n/g/./
6,/T/h/i/s/ /c/a/t/'/s/ /t/o/e/s/ /a/r/e/ /m/o/v/i/n/g/./ /I/ /t/h/i/n/k/ /t/h/e/y/ /m/i/g/h/t/ /b/e/ /i/t/c/h/y/././,"/B/e/c/a/u/s/e/ /o/f/ /t/h/e/ /r/a/i/n/,/ /t/h/e/ /t/r/a/s/h/ /c/a/n/ /d/o/e/s/n/'/t/ /l/o/o/k/ /d/i/r/t/y/./"
7,/T/h/i/s/ /c/a/t/ /l/o/o/k/s/ /s/a/t/i/s/f/i/e/d/./,"/I/f/ /I/ /d/o/ /v/o/l/u/n/t/e/e/r/ /w/o/r/k/,/ /I/ /c/a/n/ /w/o/r/k/ /o/n/ /p/i/c/k/i/n/g/ /u/p/ /t/r/a/s/h/./ /I/ /w/a/n/t/ /t/o/ /d/o/ /i/t/ /s/o/m/e/d/a/y/./"
8,/T/h/i/s/ /c/a/t/ /i/s/ /g/e/n/t/l/y/ /w/a/g/g/i/n/g/ /i/t/s/ /t/a/i/l/./,/T/h/e/ /w/e/t/ /t/r/a/s/h/ /l/o/o/k/s/ /l/i/k/e/ /i/t/ /h/a/s/ /n/o/ /e/n/e/r/g/y/./ /D/o/e/s/ /t/h/e/ /t/r/a/s/h/ /k/n/o/w/ /i/t/s/e/l/f/ /t/h/a/t/ /i/t/ /i/s/ /u/s/e/l/e/s/s/ /n/o/w/?/
9,"/S/o/m/e/t/i/m/e/s/,/ /t/h/i/s/ /c/a/t/ /i/s/ /p/u/r/r/i/n/g/./",/(/T/h/e/ /p/l/a/s/t/i/c/ /b/a/g/s/ /a/r/e/ /f/l/y/i/n/g/ /a/w/a/y/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /w/i/n/d/./)/
10,/T/h/i/s/ /c/a/t/'/s/ /e/a/r/s/ /a/r/e/ /m/o/v/i/n/g/./ /I/t/ /s/e/e/m/s/ /t/h/a/t/ /t/h/e/y/ /l/i/k/e/ /l/i/s/t/e/n/i/n/g/ /t/o/ /t/h/e/ /s/o/u/n/d/ /o/f/ /r/a/i/n/./,/H/o/w/ /m/u/c/h/ /t/r/a/s/h/ /i/s/ /b/e/i/n/g/ /d/i/s/c/h/a/r/g/e/d/?/ /T/h/e/r/e/ /a/r/e/ /p/r/o/b/a/b/l/y/ /u/n/i/m/a/g/i/n/a/b/l/y/ /m/a/n/y/./
11,/M/e/o/w/./././ /I/ /j/u/s/t/ /w/a/n/t/e/d/ /t/o/ /s/a/y/ /i/t/./,/I/ /f/e/e/l/ /l/i/k/e/ /d/r/o/p/s/ /o/f/ /w/a/t/e/r/ /t/h/a/t/ /h/i/t/ /t/h/e/ /t/r/a/s/h/ /c/a/n/ /a/r/e/ /s/p/l/a/s/h/i/n/g/ /o/n/ /m/e/./
12,/T/h/e/r/e/ /w/a/s/ /a/ /t/i/m/e/ /w/h/e/n/ /a/ /c/a/t/ /s/a/t/ /o/n/ /m/y/ /l/a/p/./ /I/t/ /w/a/s/ /w/a/r/m/e/r/ /t/h/a/n/ /I/ /t/h/o/u/g/h/t/./,/(/T/h/e/ /w/a/s/t/e/ /p/a/p/e/r/ /i/s/ /r/o/l/l/i/n/g/ /a/w/a/y/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /w/i/n/d/./)/
13,/I/ /w/a/n/t/ /t/o/ /p/l/a/y/ /t/h/r/o/w/i/n/g/ /a/n/d/ /c/a/t/c/h/i/n/g/ /w/i/t/h/ /t/h/e/ /c/a/t/./ /B/u/t/ /t/h/e/y/ /d/o/n/'/t/ /l/o/o/k/ /i/n/t/e/r/e/s/t/i/n/g/./,/I/f/ /I/ /p/i/c/k/ /u/p/ /a/l/l/ /t/h/e/ /w/a/s/t/e/ /p/a/p/e/r/ /./././h/m/m/./
14,/T/h/i/s/ /c/a/t/ /i/s/ /t/r/y/i/n/g/ /t/o/ /s/t/a/y/ /o/u/t/ /o/f/ /t/h/e/ /r/a/i/n/ /t/h/e/r/e/./,/I/t/'/s/ /g/o/o/d/ /t/o/ /h/a/v/e/ /a/ /h/a/b/i/t/ /o/f/ /n/o/t/ /t/h/r/o/w/i/n/g/ /a/w/a/y/ /t/r/a/s/h/ /a/n/y/w/h/e/r/e/./
15,/T/h/i/s/ /c/a/t/'/s/ /n/o/s/e/ /i/s/ /m/o/v/i/n/g/./ /I/ /t/h/i/n/k/ /t/h/e/y/ /m/i/g/h/t/ /b/e/ /s/m/e/l/l/i/n/g/ /t/h/e/ /s/m/e/l/l/ /o/f/ /r/a/i/n/./././,/W/i/l/l/ /t/h/e/ /d/a/y/ /w/h/e/n/ /t/h/e/ /t/r/a/s/h/ /d/e/c/r/e/a/s/e/ /w/i/l/l/ /c/o/m/e/?////////////////////
16,/T/h/e/ /c/a/t/ /s/t/r/e/t/c/h/e/d/ /n/o/w/./,/W/i/l/l/ /t/h/e/ /d/a/y/ /w/h/e/n/ /t/h/e/ /t/r/a/s/h/ /d/e/c/r/e/a/s/e/ /w/i/l/l/ /c/o/m/e/?////////////////////
17,/T/h/i/s/ /c/a/t/ /c/r/i/e/s/ /s/o/m/e/t/i/m/e/s/./,blank
18,/I/ /w/o/n/d/e/r/ /w/h/e/r/e/ /t/h/i/s/ /c/a/t/'/s/ /h/o/u/s/e/ /i/s/./ /M/a/y/b/e/ /t/h/e/y/ /t/h/i/n/k/ /a/ /h/o/u/s/e/ /i/s/ /h/e/r/e/./,blank
19,"/T/h/i/s/ /c/a/t/ /c/r/i/e/d/,/ /s/a/y/i/n/g/ /""/M/e/o/w/""/./",blank
