index,book,wall,light,window,seed,picture,clock,turtle
1,/T/h/e/s/e/ /a/r/e/ /t/h/e/ /f/l/y/e/r/s/ /a/t/t/a/c/h/e/d/ /t/o/ /t/h/e/ /d/o/o/r/./ /I/ /j/u/s/t/ /c/o/l/l/e/c/t/e/d/ /i/t/ /t/o/ /s/e/e/./,/I/ /t/h/i/n/k/ /t/h/e/ /w/a/t/e/r/ /l/e/a/k/i/n/g/ /i/n/ /t/h/e/ /c/e/i/l/i/n/g/./,/T/h/e/ /l/i/g/h/t/ /b/u/l/b/ /i/s/ /b/r/o/k/e/n/ /a/n/d/ /i/s/ /b/l/i/n/k/i/n/g/ /s/o/ /m/y/ /e/y/e/s/ /h/u/r/t/./ /I/'/m/ /w/o/r/r/i/e/d/ /a/b/o/u/t/ /i/t/./,/T/h/e/ /r/a/i/n/'/s/ /c/o/m/i/n/g/ /i/n/t/o/ /t/h/e/ /r/o/o/m/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /b/r/o/k/e/n/ /w/i/n/d/o/w/./ /S/o/ /i/t/'/s/ /c/o/l/d/./,/I/ /b/o/u/g/h/t/ /t/h/e/ /s/e/e/d/ /b/u/t/ /I/ /d/o/n/'/t/ /k/n/o/w/ /h/o/w/ /t/o/ /d/o/ /i/t/././,/T/h/i/s/ /p/i/c/t/u/r/e/ /l/o/o/k/s/ /g/l/o/o/m/y/./,/T/h/e/ /c/l/o/c/k/ /w/a/s/ /c/r/a/c/k/e/d/./,/T/h/i/s/ /t/u/r/t/l/e/ /l/o/o/k/s/ /l/o/n/e/l/y/./
2,/I/t/'/s/ /n/e/w/s/p/a/p/e/r/s/ /f/r/o/m/ /a/ /f/e/w/ /m/o/n/t/h/s/ /a/g/o/./ /I/ /r/e/a/d/ /i/t/ /s/o/ /m/a/n/y/ /t/i/m/e/s/ /t/h/a/t/ /I/ /m/e/m/o/r/i/z/e/d/ /i/t/./,"/A/f/t/e/r/ /r/e/p/a/i/r/i/n/g/ /i/t/,/ /t/h/e/ /w/a/t/e/r/ /d/o/e/s/n/'/t/ /l/e/a/k/ /a/n/y/m/o/r/e/./ /B/u/t/ /I/ /t/h/i/n/k/ /t/h/e/ /w/a/l/l/p/a/p/e/r/ /i/s/ /a/ /b/i/t/ /b/o/r/i/n/g/./",/I/'/m/ /g/l/a/d/ /t/o/ /f/i/x/ /i/t/ /b/u/t/ /i/t/ /s/t/i/l/l/ /w/o/n/'/t/ /t/u/r/n/ /o/n/./ /W/h/a/t/ /c/o/u/l/d/ /b/e/ /t/h/e/ /p/r/o/b/l/e/m/?/,/N/e/w/s/p/a/p/e/r/s/ /a/t/t/a/c/h/e/d/ /t/o/ /t/h/e/ /w/i/n/d/o/w/ /a/r/e/ /g/o/n/e/ /w/h/e/n/ /i/t/ /b/l/o/w/s/./,/I/ /p/i/c/k/e/d/ /u/p/ /t/h/e/ /s/t/y/r/o/f/o/a/m/ /o/u/t/s/i/d/e/./ /S/o/ /I/ /p/u/t/ /i/n/ /s/o/i/l/ /a/n/d/ /g/a/v/e/ /i/t/ /s/o/m/e/ /w/a/t/e/r/./,/W/h/e/r/e/ /d/o/ /t/h/e/y/ /g/o/?/,/I/ /f/i/x/e/d/ /i/t/ /a/n/d/ /c/h/a/n/g/e/d/ /i/t/ /w/i/t/h/ /a/ /r/e/c/t/a/n/g/l/e/./ /I/t/'/s/ /n/o/t/ /b/a/d/./,/I/t/ /b/i/t/ /m/y/ /f/o/o/t/ /l/a/s/t/ /t/i/m/e/./
3,/I/ /w/e/n/t/ /t/o/ /a/ /s/e/c/o/n/d/h/a/n/d/ /b/o/o/k/s/t/o/r/e/ /a/n/d/ /b/o/u/g/h/t/ /a/ /t/o/r/n/ /m/a/g/a/z/i/n/e/./ /T/h/e/r/e/'/s/ /a/ /t/r/e/n/d/ /f/r/o/m/ /a/ /y/e/a/r/ /a/g/o/./,"/E/v/e/n/ /i/f/ /y/o/u/ /c/a/n/'/t/ /s/e/e/ /t/h/e/ /c/e/i/l/i/n/g/,/ /I/ /c/h/a/n/g/e/d/ /i/t/ /t/o/o/./ /I/ /f/e/e/l/ /l/i/k/e/ /i/t/ /l/o/o/k/s/ /p/r/e/t/t/y/ /c/l/e/a/n/./","/T/h/e/ /l/i/g/h/t/s/ /a/r/e/ /o/n/ /c/o/m/p/l/e/t/e/l/y/ /n/o/w/./ /T/h/a/n/k/s/ /t/o/ /t/h/i/s/,/ /I/ /c/a/n/ /s/e/e/ /t/h/e/ /b/u/g/s/ /o/n/ /t/h/e/ /f/l/o/o/r/ /w/e/l/l/./","/I/ /f/i/x/e/d/ /i/t/ /w/i/t/h/ /t/a/p/e/,/ /b/u/t/ /e/v/e/r/y/ /t/i/m/e/ /a/ /c/a/r/ /w/e/n/t/ /p/a/s/t/ /i/n/ /f/r/o/n/t/ /o/f/ /m/y/ /h/o/m/e/,/ /t/h/e/ /w/i/n/d/o/w/s/ /r/a/t/t/l/e/d/./",/I/ /p/i/c/k/e/d/ /u/p/ /t/h/e/ /w/o/o/d/e/n/ /b/o/x/ /i/n/ /t/h/e/ /r/i/v/e/r/./ /I/t/'/s/ /a/ /l/i/t/t/l/e/ /d/a/m/p/ /b/u/t/ /i/t/ /w/i/l/l/ /b/e/ /d/u/r/a/b/l/e/ /././M/a/y/b/e/./,/T/h/e/y/ /l/o/o/k/ /l/i/k/e/ /t/h/e/y/ /f/o/u/n/d/ /s/o/m/e/t/h/i/n/g/./,/T/h/e/ /c/i/r/c/l/e/ /s/h/a/p/e/ /i/s/ /g/o/o/d/ /a/s/ /e/x/p/e/c/t/e/d/./,/T/h/i/s/ /t/u/r/t/l/e/ /c/a/n/ /g/o/ /h/o/m/e/ /a/n/y/t/i/m/e/./ /I/'/m/ /j/e/a/l/o/u/s/ /i/t/./
4,/I/'/v/e/ /s/e/e/n/ /a/ /b/i/o/g/r/a/p/h/y/./ /C/a/n/ /I/ /b/e/ /s/u/c/h/ /a/ /g/r/e/a/t/ /p/e/r/s/o/n/?/,blank,/I/ /b/o/u/g/h/t/ /a/ /n/e/w/ /o/n/e/ /i/n/ /t/h/e/ /c/i/t/y/./,"/I/ /c/h/a/n/g/e/d/ /i/t/ /t/o/ /t/h/e/ /s/t/e/a/d/y/ /w/i/n/d/o/w/,/ /s/o/ /I/ /c/a/n/ /r/e/l/a/x/ /n/o/w/./",/T/h/e/ /w/o/o/d/e/n/ /b/o/x/ /i/s/ /t/o/o/ /b/i/g/ /s/o/ /I/ /m/a/d/e/ /i/t/ /a/g/a/i/n/ /b/y/ /c/u/t/t/i/n/g/ /t/h/e/ /p/l/a/s/t/i/c/ /b/o/t/t/l/e/./ /I/ /w/o/n/d/e/r/ /w/h/e/n/ /i/t/ /w/i/l/l/ /g/r/o/w/ /u/p/./,/S/o/m/e/t/h/i/n/g/ /i/n/s/i/d/e/./ /W/h/a/t/ /i/s/ /i/t/?/,/H/o/w/ /o/l/d/ /i/s/ /t/h/e/ /t/r/e/e/ /w/h/e/n/ /t/h/e/ /c/l/o/c/k/ /i/s/ /m/a/d/e/?/,/I/t/ /m/o/v/e/s/ /w/e/l/l/ /b/y/ /i/t/s/e/l/f/./
5,"/L/o/o/k/i/n/g/ /a/t/ /t/h/e/ /c/o/o/k/b/o/o/k/,/ /I/ /t/h/o/u/g/h/t/ /t/h/e/r/e/ /a/r/e/ /v/a/r/i/o/u/s/ /f/o/o/d/s/ /i/n/ /t/h/e/ /w/o/r/l/d/./ /I/ /w/a/n/t/ /t/o/ /t/r/y/ /i/t/./",blank,/I/ /c/h/a/n/g/e/d/ /i/t/ /i/n/ /b/l/a/c/k/ /c/o/l/o/r/./ /I/ /t/h/i/n/k/ /i/t/'/s/ /c/o/o/l/./,//I/ /b/o/u/g/h/t/ /s/t/i/c/k/e/r/s/ /a/t/ /t/h/e/ /s/t/a/t/i/o/n/e/r/y/ /s/t/o/r/e/ /f/o/r/ /a/ /c/h/a/n/g/e/./ /I/ /a/t/t/a/c/h/e/d/ /i/t/ /t/o/ /t/h/e/ /w/i/n/d/o/w/ /a/n/d/ /I/ /t/h/i/n/k/ /i/t/'/s/ /g/o/o/d/./,/I/ /f/e/e/l/ /l/i/k/e/ /a/ /c/a/r/t/o/n/ /o/f/ /m/i/l/k/ /i/s/ /g/o/o/d/ /b/e/c/a/u/s/e/ /i/t/ /i/s/ /s/t/a/b/l/e/./ /D/o/n/'/t/ /w/o/r/r/y/./ /I/t/ /d/o/e/s/ /n/o/t/ /s/m/e/l/l/./ /A/n/d/ /I/ /l/i/k/e/ /c/h/o/c/o/l/a/t/e/ /m/i/l/k/./,/T/h/e/y/ /a/r/e/ /w/a/i/t/i/n/g/ /f/o/r/ /s/o/m/e/t/h/i/n/g/ /s/l/o/w/l/y/./,/T/h/e/ /c/l/o/c/k/ /l/o/o/k/s/ /b/e/t/t/e/r/ /b/e/c/a/u/s/e/ /t/h/e/ /l/i/t/t/l/e/ /p/a/t/t/e/r/n/ /i/s/ /o/n/ /i/t/./,/(/T/h/e/ /t/u/r/t/l/e/ /w/a/l/k/s/ /s/l/o/w/l/y/./)/
6,"/I/ /r/e/a/d/ /a/ /f/a/i/r/y/ /t/a/l/e/ /b/o/o/k/,/ /b/u/t/ /I/ /r/e/m/e/m/b/e/r/ /s/e/e/i/n/g/ /i/t/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/./ /T/h/e/ /m/a/i/n/ /c/h/a/r/a/c/t/e/r/ /a/l/w/a/y/s/ /h/a/s/ /a/ /h/a/p/p/y/ /e/n/d/i/n/g/././",blank,/I/t/'/s/ /m/u/c/h/ /b/e/t/t/e/r/ /t/h/a/n/ /b/e/f/o/r/e/./ /I/ /l/i/k/e/ /i/t/./,/I/ /a/t/t/a/c/h/e/d/ /m/o/r/e/ /s/t/i/c/k/e/r/s/./ /H/m/m/././ /I/ /t/h/i/n/k/ /i/t/'/s/ /c/o/o/l/./,/I/ /f/o/u/n/d/ /a/ /g/l/a/s/s/ /a/t/ /h/o/m/e/ /t/h/a/t/ /I/ /d/o/n/'/t/ /u/s/e/./ /I/'/d/ /l/i/k/e/ /t/o/ /t/r/e/a/t/ /s/o/m/e/o/n/e/ /t/o/ /a/ /g/l/a/s/s/ /o/f/ /w/a/t/e/r/./ /B/u/t/ /n/o/ /o/n/e/'/s/ /c/o/m/i/n/g/ /h/e/r/e/ /e/x/c/e/p/t/ /f/o/r/ /y/o/u/./././,/T/h/e/ /f/l/o/w/e/r/ /i/s/ /b/l/o/o/m/i/n/g/./ /I/ /t/h/i/n/k/ /t/h/e/y/'/r/e/ /s/u/r/p/r/i/s/e/d/./,blank,/T/h/i/s/ /t/u/r/t/l/e/ /l/o/o/k/s/ /l/o/n/e/l/y/./
7,/I/ /b/o/u/g/h/t/ /a/ /h/u/m/o/r/ /b/o/o/k/ /f/o/r/ /t/h/e/ /j/o/y/./ /I/t/ /w/a/s/ /l/i/t/t/l/e/ /f/u/n/./,blank,blank,/I/ /h/u/n/g/ /c/u/r/t/a/i/n/s/ /o/n/ /a/ /w/i/n/d/o/w/ /b/e/c/a/u/s/e/ /I/ /d/i/d/n/'/t/ /k/n/o/w/ /w/h/e/n/ /t/h/e/ /s/u/n/l/i/g/h/t/ /w/o/u/l/d/ /c/o/m/e/ /i/n/./ /I/t/'/s/ /g/o/o/d/ /t/o/ /s/e/e/ /w/h/e/n/ /i/t/'/s/ /b/l/o/w/n/ /b/y/ /t/h/e/ /w/i/n/d/./,/I/ /t/h/i/n/k/ /f/l/o/w/e/r/s/ /a/r/e/ /t/h/e/ /m/o/s/t/ /b/e/a/u/t/i/f/u/l/ /w/h/e/n/ /t/h/e/y/ /a/r/e/ /i/n/ /a/ /v/a/s/e/ /a/s/ /e/x/p/e/c/t/e/d/./ /I/'/m/ /a/ /l/i/t/t/l/e/ /l/o/o/k/i/n/g/ /f/o/r/w/a/r/d/ /t/o/ /w/h/a/t/ /k/i/n/d/ /o/f/ /f/l/o/w/e/r/s/ /w/i/l/l/ /b/l/o/o/m/./,/D/o/ /t/h/e/y/ /g/r/e/e/t/ /e/a/c/h/ /o/t/h/e/r/?/ /T/h/e/y/ /r/e/a/c/h/ /o/u/t/ /t/h/e/i/r/ /h/a/n/d/./,blank,/I/t/ /b/i/t/ /m/y/ /f/o/o/t/ /l/a/s/t/ /t/i/m/e/./
8,/I/ /d/e/c/i/d/e/d/ /t/o/ /b/u/y/ /a/l/l/ /t/h/e/ /c/o/m/i/c/ /b/o/o/k/ /s/e/r/i/e/s/./ /I/ /w/a/n/t/ /i/t/ /t/o/ /b/e/ /s/e/r/i/a/l/i/z/e/d/ /a/g/a/i/n/./,blank,blank,/I/ /c/h/a/n/g/e/d/ /t/h/e/ /c/o/l/o/r/ /o/f/ /t/h/e/ /c/u/r/t/a/i/n/ /t/o/ /b/e/ /b/r/i/g/h/t/e/r/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /d/u/l/l/ /c/o/l/o/r/./ /I/t/'/s/ /g/o/o/d/ /t/o/ /s/e/e/ /n/o/w/./,/I/t/'/s/ /g/r/o/w/i/n/g/ /d/a/y/ /b/y/ /d/a/y/./ /A/n/d/ /i/t/'/l/l/ /b/l/o/o/m/ /s/o/o/n/./ /I/ /h/o/p/e/ /t/h/a/t/ /t/h/e/ /c/l/o/u/d/s/ /i/n/ /m/y/ /m/i/n/d/ /w/i/l/l/ /c/l/e/a/r/ /a/n/d/ /f/l/o/w/e/r/s/ /w/i/l/l/ /b/l/o/o/m/ /i/n/ /m/y/ /m/i/n/d/./,/W/h/a/t/ /k/i/n/d/ /o/f/ /t/h/i/n/k/i/n/g/ /d/o/ /t/h/e/y/ /t/h/i/n/k/ /w/h/e/n/ /t/h/e/y/ /s/m/e/l/l/ /t/h/e/ /f/l/o/w/e/r/?/,blank,/T/h/i/s/ /t/u/r/t/l/e/ /c/a/n/ /g/o/ /h/o/m/e/ /a/n/y/t/i/m/e/./ /I/'/m/ /j/e/a/l/o/u/s/ /i/t/./
9,/T/h/e/ /s/c/e/n/e/ /w/h/e/r/e/ /t/h/e/ /m/a/i/n/ /c/h/a/r/a/c/t/e/r/ /m/e/e/t/s/ /h/i/s/ /p/a/r/e/n/t/s/ /a/g/a/i/n/ /i/n/ /t/h/e/ /n/o/v/e/l/ /w/a/s/ /r/e/a/l/l/y/ /t/o/u/c/h/i/n/g/./,blank,blank,/T/h/e/ /p/a/t/t/e/r/n/ /o/n/ /t/h/e/ /c/u/r/t/a/i/n/s/ /m/a/k/e/s/ /t/h/e/ /r/o/o/m/ /l/o/o/k/ /l/i/v/e/l/y/./ /I/t/'/s/ /g/o/o/d/ /t/h/a/t/ /I/ /c/a/n/ /c/h/a/n/g/e/ /t/h/e/ /c/o/l/o/r/ /t/o/o/./,"/I/ /h/a/v/e/ /b/e/e/n/ /a/ /s/t/e/a/d/y/ /i/n/t/e/r/e/s/t/ /i/n/ /i/t/./ /I/ /n/e/v/e/r/ /t/h/o/u/g/h/t/ /o/f/ /f/l/o/w/e/r/s/ /b/l/o/o/m/i/n/g/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/./ /B/u/t/ /we/ /w/a/t/e/r/e/d/ /i/t/ /d/a/y/ /b/y/ /d/a/y/ /a/n/d/ /i/t/ /g/r/e/w/ /l/i/t/t/l/e/ /b/y/ /l/i/t/t/l/e/./ /T/h/a/n/k/s/ /t/o/ /y/o/u/,/ /I/ /c/o/u/l/d/ /s/e/e/ /b/e/a/u/t/i/f/u/l/ /f/l/o/w/e/r/s/./.","/I/n/ /t/h/e/ /e/n/d/,/ /I/ /t/h/i/n/k/ /t/h/e/y/ /b/e/c/a/m/e/ /f/r/i/e/n/d/s/ /w/i/t/h/ /t/h/e/ /f/l/o/w/e/r/.",blank,/I/t/ /m/o/v/e/s/ /w/e/l/l/ /b/y/ /i/t/s/e/l/f/./
10,/I/'/m/ /g/l/a/d/ /I/ /d/o/n/'/t/ /n/e/e/d/ /t/o/ /p/u/t/ /b/o/o/k/s/ /o/n/ /t/h/e/ /f/l/o/o/r/ /a/n/y/m/o/r/e/ /b/e/c/a/u/s/e/ /I/ /h/a/v/e/ /a/ /b/o/o/k/c/a/s/e/.,blank,blank,blank,blank,blank,blank,/(/T/h/e/ /t/u/r/t/l/e/ /w/a/l/k/s/ /s/l/o/w/l/y/./)
